year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1994,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3847,3.0,5.0,,5.0,,,5.0,,,1.0,,4.0,,5.0,1.0,78.0,130.0,,130.0,,,130.0,,,26.0,,104.0,,130.0,26.0
1994,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,5229,2.0,5.0,,5.0,,3.0,1.0,,1.0,5.0,,,1.0,4.0,2.0,38.2,95.6,,95.6,,57.4,19.1,,19.1,95.6,,,19.1,76.5,38.2
1994,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1392,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,71.8,,71.8,,,71.8,,,,,71.8,,71.8,
1994,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2560,2.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,,78.1,78.1,,78.1,,,78.1,,,,,78.1,,78.1,
1994,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2670,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,37.5,,37.5,,,37.5,,,,,37.5,,37.5,37.5
1994,44,87.0,Johnson,1,Southern,Completely Rural,100.0,1109,,3.0,,3.0,,,3.0,,,,,3.0,,3.0,,,270.5,,270.5,,,270.5,,,,,270.5,,270.5,
1994,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,43887,23.0,69.0,4.0,65.0,4.0,15.0,30.0,5.0,13.0,27.0,31.0,10.0,5.0,64.0,6.0,52.4,157.2,9.1,148.1,9.1,34.2,68.4,11.4,29.6,61.5,70.6,22.8,11.4,145.8,13.7
1994,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,12656,5.0,20.0,3.0,17.0,,7.0,12.0,1.0,,10.0,1.0,9.0,1.0,19.0,10.0,39.5,158.0,23.7,134.3,,55.3,94.8,7.9,,79.0,7.9,71.1,7.9,150.1,79.0
1994,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5771,,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,2.0,1.0,,34.7,17.3,17.3,,17.3,17.3,,,,,34.7,,34.7,17.3
1994,48,95.0,Knox,9,Central,Mostly Urban,24.3,6086,2.0,11.0,,11.0,,4.0,7.0,,,,,11.0,6.0,5.0,1.0,32.9,180.7,,180.7,,65.7,115.0,,,,,180.7,98.6,82.2,16.4
1994,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,67187,18.0,41.0,4.0,37.0,1.0,6.0,22.0,7.0,5.0,27.0,3.0,11.0,4.0,37.0,11.0,26.8,61.0,6.0,55.1,1.5,8.9,32.7,10.4,7.4,40.2,4.5,16.4,6.0,55.1,16.4
