year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1990,1,1.0,Adams,8,Central,Mostly Urban,32.6,82137.0,85.0,27.0,4.0,9.0,28.0,17.0,26.0,8.0,77.0,9.0,103.5,32.9,4.9,11.0,34.1,20.7,31.7,9.7,93.7,11.0
1990,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,13452.0,32.0,4.0,1.0,10.0,15.0,2.0,12.0,1.0,31.0,8.0,237.9,29.7,7.4,74.3,111.5,14.9,89.2,7.4,230.4,59.5
1990,3,5.0,Bond,3,Southern,Mostly Rural,60.7,18508.0,12.0,1.0,,3.0,8.0,,3.0,,12.0,2.0,64.8,5.4,,16.2,43.2,,16.2,,64.8,10.8
1990,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,39104.0,24.0,4.0,1.0,7.0,11.0,1.0,8.0,1.0,23.0,4.0,61.4,10.2,2.6,17.9,28.1,2.6,20.5,2.6,58.8,10.2
1990,5,9.0,Brown,8,Central,Mostly Urban,41.1,7057.0,2.0,1.0,,1.0,,,1.0,,2.0,,28.3,14.2,,14.2,,,14.2,,28.3,
1990,6,11.0,Bureau,13,Central,Mostly Rural,57.4,44529.0,29.0,13.0,,1.0,9.0,6.0,7.0,2.0,27.0,1.0,65.1,29.2,,2.2,20.2,13.5,15.7,4.5,60.6,2.2
1990,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,6549.0,5.0,,,1.0,4.0,,1.0,,5.0,3.0,76.3,,,15.3,61.1,,15.3,,76.3,45.8
1990,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,20748.0,18.0,5.0,2.0,3.0,5.0,3.0,6.0,2.0,16.0,4.0,86.8,24.1,9.6,14.5,24.1,14.5,28.9,9.6,77.1,19.3
1990,9,17.0,Cass,8,Central,Mostly Rural,52.1,16688.0,6.0,1.0,,1.0,4.0,,1.0,1.0,5.0,3.0,36.0,6.0,,6.0,24.0,,6.0,6.0,30.0,18.0
1990,10,19.0,Champaign,6,Central,Mostly Urban,12.7,209060.0,184.0,17.0,3.0,55.0,99.0,10.0,64.0,18.0,166.0,48.0,88.0,8.1,1.4,26.3,47.4,4.8,30.6,8.6,79.4,23.0
1990,11,21.0,Christian,4,Central,Mostly Urban,43.5,42614.0,37.0,5.0,3.0,5.0,18.0,6.0,11.0,2.0,35.0,5.0,86.8,11.7,7.0,11.7,42.2,14.1,25.8,4.7,82.1,11.7
1990,12,23.0,Clark,5,Southern,Mostly Rural,59.5,19618.0,10.0,,,3.0,7.0,,3.0,1.0,9.0,,51.0,,,15.3,35.7,,15.3,5.1,45.9,
1990,13,25.0,Clay,4,Southern,Mostly Rural,64.7,17935.0,16.0,2.0,,6.0,8.0,,6.0,1.0,15.0,5.0,89.2,11.2,,33.5,44.6,,33.5,5.6,83.6,27.9
1990,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,42556.0,59.0,17.0,6.0,5.0,28.0,3.0,8.0,3.0,56.0,6.0,138.6,39.9,14.1,11.7,65.8,7.0,18.8,7.0,131.6,14.1
1990,15,29.0,Coles,5,Central,Mostly Urban,24.3,61715.0,58.0,2.0,1.0,8.0,42.0,5.0,13.0,6.0,52.0,13.0,94.0,3.2,1.6,13.0,68.1,8.1,21.1,9.7,84.3,21.1
1990,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,6315887.0,8656.0,2426.0,113.0,2660.0,3055.0,402.0,3055.0,461.0,8195.0,1519.0,137.1,38.4,1.8,42.1,48.4,6.4,48.4,7.3,129.8,24.1
1990,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,23887.0,3.0,1.0,,,,2.0,2.0,,3.0,,12.6,4.2,,,,8.4,8.4,,12.6,
1990,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,13512.0,5.0,,2.0,,3.0,,,,5.0,1.0,37.0,,14.8,,22.2,,,,37.0,7.4
1990,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,94158.0,41.0,5.0,2.0,6.0,22.0,6.0,12.0,2.0,39.0,6.0,43.5,5.3,2.1,6.4,23.4,6.4,12.7,2.1,41.4,6.4
1990,20,39.0,De Witt,6,Central,Mostly Urban,48.8,20553.0,12.0,3.0,,3.0,3.0,3.0,6.0,,12.0,4.0,58.4,14.6,,14.6,14.6,14.6,29.2,,58.4,19.5
1990,21,41.0,Douglas,6,Central,Mostly Rural,61.6,24630.0,6.0,,,2.0,2.0,2.0,4.0,,6.0,1.0,24.4,,,8.1,8.1,8.1,16.2,,24.4,4.1
1990,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,981841.0,372.0,94.0,23.0,58.0,182.0,15.0,73.0,47.0,325.0,39.0,37.9,9.6,2.3,5.9,18.5,1.5,7.4,4.8,33.1,4.0
1990,23,45.0,Edgar,5,Central,Mostly Rural,51.8,24219.0,15.0,2.0,1.0,3.0,9.0,,3.0,,15.0,2.0,61.9,8.3,4.1,12.4,37.2,,12.4,,61.9,8.3
1990,24,47.0,Edwards,2,Southern,Completely Rural,100.0,9133.0,2.0,1.0,,1.0,,,1.0,,2.0,,21.9,10.9,,10.9,,,10.9,,21.9,
1990,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,40808.0,13.0,4.0,,,7.0,2.0,2.0,,13.0,5.0,31.9,9.8,,,17.2,4.9,4.9,,31.9,12.3
1990,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,25786.0,17.0,3.0,2.0,2.0,6.0,4.0,6.0,3.0,14.0,4.0,65.9,11.6,7.8,7.8,23.3,15.5,23.3,11.6,54.3,15.5
1990,27,53.0,Ford,11,Central,Mostly Urban,41.8,17716.0,11.0,2.0,1.0,1.0,6.0,1.0,2.0,,11.0,2.0,62.1,11.3,5.6,5.6,33.9,5.6,11.3,,62.1,11.3
1990,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,49227.0,27.0,2.0,,10.0,13.0,2.0,12.0,2.0,25.0,8.0,54.8,4.1,,20.3,26.4,4.1,24.4,4.1,50.8,16.3
1990,29,57.0,Fulton,9,Central,Mostly Rural,60.0,46780.0,20.0,,,4.0,12.0,4.0,8.0,,20.0,4.0,42.8,,,8.6,25.7,8.6,17.1,,42.8,8.6
1990,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,8407.0,8.0,1.0,,1.0,4.0,2.0,3.0,1.0,7.0,1.0,95.2,11.9,,11.9,47.6,23.8,35.7,11.9,83.3,11.9
1990,31,61.0,Greene,7,Central,Mostly Rural,70.8,19126.0,6.0,1.0,,1.0,4.0,,1.0,,6.0,2.0,31.4,5.2,,5.2,20.9,,5.2,,31.4,10.5
1990,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,40933.0,13.0,5.0,,2.0,3.0,3.0,5.0,1.0,12.0,,31.8,12.2,,4.9,7.3,7.3,12.2,2.4,29.3,
1990,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,10413.0,7.0,1.0,,2.0,4.0,,2.0,,7.0,1.0,67.2,9.6,,19.2,38.4,,19.2,,67.2,9.6
1990,34,67.0,Hancock,9,Central,Mostly Rural,71.0,26494.0,8.0,3.0,,3.0,1.0,1.0,4.0,,8.0,2.0,30.2,11.3,,11.3,3.8,3.8,15.1,,30.2,7.5
1990,35,69.0,Hardin,2,Southern,Completely Rural,100.0,6325.0,1.0,,,1.0,,,1.0,,1.0,2.0,15.8,,,15.8,,,15.8,,15.8,31.6
1990,37,73.0,Henry,14,Central,Mostly Rural,50.3,63974.0,40.0,7.0,7.0,7.0,14.0,5.0,12.0,1.0,39.0,5.0,62.5,10.9,10.9,10.9,21.9,7.8,18.8,1.6,61.0,7.8
1990,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,38267.0,15.0,1.0,,5.0,7.0,2.0,7.0,2.0,13.0,5.0,39.2,2.6,,13.1,18.3,5.2,18.3,5.2,34.0,13.1
1990,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,72011.0,43.0,9.0,,9.0,19.0,6.0,15.0,3.0,40.0,33.0,59.7,12.5,,12.5,26.4,8.3,20.8,4.2,55.5,45.8
1990,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,13435.0,15.0,3.0,2.0,,9.0,1.0,1.0,1.0,14.0,,111.6,22.3,14.9,,67.0,7.4,7.4,7.4,104.2,
1990,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,46453.0,58.0,11.0,1.0,9.0,29.0,8.0,17.0,4.0,54.0,16.0,124.9,23.7,2.2,19.4,62.4,17.2,36.6,8.6,116.2,34.4
1990,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,25726.0,18.0,1.0,3.0,2.0,11.0,1.0,3.0,,18.0,2.0,70.0,3.9,11.7,7.8,42.8,3.9,11.7,,70.0,7.8
1990,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,27133.0,3.0,,,,3.0,,,,3.0,2.0,11.1,,,,11.1,,,,11.1,7.4
1990,44,87.0,Johnson,1,Southern,Completely Rural,100.0,13404.0,17.0,4.0,1.0,2.0,10.0,,2.0,1.0,16.0,2.0,126.8,29.8,7.5,14.9,74.6,,14.9,7.5,119.4,14.9
1990,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,409448.0,331.0,87.0,8.0,64.0,149.0,23.0,87.0,15.0,316.0,45.0,80.8,21.2,2.0,15.6,36.4,5.6,21.2,3.7,77.2,11.0
1990,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,122112.0,66.0,9.0,,17.0,37.0,3.0,20.0,3.0,63.0,9.0,54.0,7.4,,13.9,30.3,2.5,16.4,2.5,51.6,7.4
1990,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,50589.0,9.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,7.0,,17.8,2.0,2.0,5.9,5.9,2.0,7.9,4.0,13.8,
1990,48,95.0,Knox,9,Central,Mostly Urban,24.3,68968.0,26.0,2.0,,6.0,14.0,4.0,10.0,1.0,25.0,9.0,37.7,2.9,,8.7,20.3,5.8,14.5,1.4,36.2,13.0
1990,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,656147.0,509.0,125.0,9.0,98.0,233.0,44.0,141.0,42.0,467.0,73.0,77.6,19.1,1.4,14.9,35.5,6.7,21.5,6.4,71.2,11.1
1990,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,132690.0,66.0,11.0,6.0,5.0,32.0,12.0,16.0,,66.0,9.0,49.7,8.3,4.5,3.8,24.1,9.0,12.1,,49.7,6.8
