year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,1.0,2.0,,2.0,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,,1.0,2.0,,2.0,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,,4.0,1.0,3.0,,2.0,2.0,,,,2.0,2.0,1.0,3.0,5.0,,,,,,,,,,,,,,,
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,,,4.0,1.0,3.0,,,3.0,1.0,,,1.0,3.0,,4.0,3.0,,,,,,,,,,,,,,,
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,,2.0,20.0,1.0,19.0,3.0,5.0,11.0,,,12.0,,8.0,1.0,19.0,8.0,,,,,,,,,,,,,,,
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,3.0,,3.0,,1.0,2.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,,6.0,2.0,4.0,,1.0,4.0,1.0,,2.0,,4.0,,6.0,3.0,,,,,,,,,,,,,,,
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,,1.0,3.0,1.0,2.0,,1.0,1.0,1.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,,3.0,3.0,,3.0,,,3.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,1.0,2.0,,2.0,,,2.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,,,2.0,,2.0,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,2.0,11.0,,11.0,,3.0,8.0,,,,6.0,5.0,1.0,10.0,2.0,,,,,,,,,,,,,,,
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,23.0,1.0,22.0,,8.0,9.0,,6.0,11.0,1.0,11.0,,23.0,9.0,,,,,,,,,,,,,,,
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,,2.0,,2.0,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,,1.0,2.0,,2.0,,,2.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,3.0,9.0,,9.0,,3.0,4.0,,2.0,5.0,1.0,3.0,,9.0,2.0,,,,,,,,,,,,,,,
